2019-09-18 13:07:37,079  root       DEBUG   Instantiating class [TemplateNode]
2019-09-18 13:07:37,079  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.word.TemplateWordNode]
2019-09-18 13:07:37,079  root       DEBUG   Processor path [programy.parser.template.nodes.word.TemplateWordNode]
2019-09-18 13:07:37,079  root       DEBUG   Importing module [programy.parser.template.nodes.word]
2019-09-18 13:07:37,080  root       DEBUG   Instantiating class [TemplateWordNode]
2019-09-18 13:07:37,080  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.authorise.TemplateAuthoriseNode]
2019-09-18 13:07:37,080  root       DEBUG   Processor path [programy.parser.template.nodes.authorise.TemplateAuthoriseNode]
2019-09-18 13:07:37,081  root       DEBUG   Importing module [programy.parser.template.nodes.authorise]
2019-09-18 13:07:37,081  root       DEBUG   Instantiating class [TemplateAuthoriseNode]
2019-09-18 13:07:37,082  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.rand.TemplateRandomNode]
2019-09-18 13:07:37,082  root       DEBUG   Processor path [programy.parser.template.nodes.rand.TemplateRandomNode]
2019-09-18 13:07:37,082  root       DEBUG   Importing module [programy.parser.template.nodes.rand]
2019-09-18 13:07:37,083  root       DEBUG   Instantiating class [TemplateRandomNode]
2019-09-18 13:07:37,083  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.condition.TemplateConditionNode]
2019-09-18 13:07:37,083  root       DEBUG   Processor path [programy.parser.template.nodes.condition.TemplateConditionNode]
2019-09-18 13:07:37,083  root       DEBUG   Importing module [programy.parser.template.nodes.condition]
2019-09-18 13:07:37,085  root       DEBUG   Instantiating class [TemplateConditionNode]
2019-09-18 13:07:37,085  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.srai.TemplateSRAINode]
2019-09-18 13:07:37,085  root       DEBUG   Processor path [programy.parser.template.nodes.srai.TemplateSRAINode]
2019-09-18 13:07:37,085  root       DEBUG   Importing module [programy.parser.template.nodes.srai]
2019-09-18 13:07:37,086  root       DEBUG   Instantiating class [TemplateSRAINode]
2019-09-18 13:07:37,086  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.sraix.TemplateSRAIXNode]
2019-09-18 13:07:37,086  root       DEBUG   Processor path [programy.parser.template.nodes.sraix.TemplateSRAIXNode]
2019-09-18 13:07:37,087  root       DEBUG   Importing module [programy.parser.template.nodes.sraix]
2019-09-18 13:07:37,087  root       DEBUG   Instantiating class [TemplateSRAIXNode]
2019-09-18 13:07:37,088  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.get.TemplateGetNode]
2019-09-18 13:07:37,088  root       DEBUG   Processor path [programy.parser.template.nodes.get.TemplateGetNode]
2019-09-18 13:07:37,088  root       DEBUG   Importing module [programy.parser.template.nodes.get]
2019-09-18 13:07:37,088  root       DEBUG   Instantiating class [TemplateGetNode]
2019-09-18 13:07:37,088  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.set.TemplateSetNode]
2019-09-18 13:07:37,088  root       DEBUG   Processor path [programy.parser.template.nodes.set.TemplateSetNode]
2019-09-18 13:07:37,088  root       DEBUG   Importing module [programy.parser.template.nodes.set]
2019-09-18 13:07:37,089  root       DEBUG   Instantiating class [TemplateSetNode]
2019-09-18 13:07:37,089  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.map.TemplateMapNode]
2019-09-18 13:07:37,089  root       DEBUG   Processor path [programy.parser.template.nodes.map.TemplateMapNode]
2019-09-18 13:07:37,090  root       DEBUG   Importing module [programy.parser.template.nodes.map]
2019-09-18 13:07:37,090  root       DEBUG   Instantiating class [TemplateMapNode]
2019-09-18 13:07:37,090  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.bot.TemplateBotNode]
2019-09-18 13:07:37,091  root       DEBUG   Processor path [programy.parser.template.nodes.bot.TemplateBotNode]
2019-09-18 13:07:37,091  root       DEBUG   Importing module [programy.parser.template.nodes.bot]
2019-09-18 13:07:37,091  root       DEBUG   Instantiating class [TemplateBotNode]
2019-09-18 13:07:37,091  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.think.TemplateThinkNode]
2019-09-18 13:07:37,091  root       DEBUG   Processor path [programy.parser.template.nodes.think.TemplateThinkNode]
2019-09-18 13:07:37,091  root       DEBUG   Importing module [programy.parser.template.nodes.think]
2019-09-18 13:07:37,092  root       DEBUG   Instantiating class [TemplateThinkNode]
2019-09-18 13:07:37,092  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.normalise.TemplateNormalizeNode]
2019-09-18 13:07:37,092  root       DEBUG   Processor path [programy.parser.template.nodes.normalise.TemplateNormalizeNode]
2019-09-18 13:07:37,092  root       DEBUG   Importing module [programy.parser.template.nodes.normalise]
2019-09-18 13:07:37,093  root       DEBUG   Instantiating class [TemplateNormalizeNode]
2019-09-18 13:07:37,093  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.denormalise.TemplateDenormalizeNode]
2019-09-18 13:07:37,093  root       DEBUG   Processor path [programy.parser.template.nodes.denormalise.TemplateDenormalizeNode]
2019-09-18 13:07:37,094  root       DEBUG   Importing module [programy.parser.template.nodes.denormalise]
2019-09-18 13:07:37,095  root       DEBUG   Instantiating class [TemplateDenormalizeNode]
2019-09-18 13:07:37,095  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.person.TemplatePersonNode]
2019-09-18 13:07:37,095  root       DEBUG   Processor path [programy.parser.template.nodes.person.TemplatePersonNode]
2019-09-18 13:07:37,095  root       DEBUG   Importing module [programy.parser.template.nodes.person]
2019-09-18 13:07:37,096  root       DEBUG   Instantiating class [TemplatePersonNode]
2019-09-18 13:07:37,096  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.person2.TemplatePerson2Node]
2019-09-18 13:07:37,097  root       DEBUG   Processor path [programy.parser.template.nodes.person2.TemplatePerson2Node]
2019-09-18 13:07:37,097  root       DEBUG   Importing module [programy.parser.template.nodes.person2]
2019-09-18 13:07:37,098  root       DEBUG   Instantiating class [TemplatePerson2Node]
2019-09-18 13:07:37,099  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.gender.TemplateGenderNode]
2019-09-18 13:07:37,099  root       DEBUG   Processor path [programy.parser.template.nodes.gender.TemplateGenderNode]
2019-09-18 13:07:37,099  root       DEBUG   Importing module [programy.parser.template.nodes.gender]
2019-09-18 13:07:37,100  root       DEBUG   Instantiating class [TemplateGenderNode]
2019-09-18 13:07:37,100  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.sr.TemplateSrNode]
2019-09-18 13:07:37,100  root       DEBUG   Processor path [programy.parser.template.nodes.sr.TemplateSrNode]
2019-09-18 13:07:37,100  root       DEBUG   Importing module [programy.parser.template.nodes.sr]
2019-09-18 13:07:37,101  root       DEBUG   Instantiating class [TemplateSrNode]
2019-09-18 13:07:37,101  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.id.TemplateIdNode]
2019-09-18 13:07:37,101  root       DEBUG   Processor path [programy.parser.template.nodes.id.TemplateIdNode]
2019-09-18 13:07:37,101  root       DEBUG   Importing module [programy.parser.template.nodes.id]
2019-09-18 13:07:37,102  root       DEBUG   Instantiating class [TemplateIdNode]
2019-09-18 13:07:37,102  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.size.TemplateSizeNode]
2019-09-18 13:07:37,102  root       DEBUG   Processor path [programy.parser.template.nodes.size.TemplateSizeNode]
2019-09-18 13:07:37,102  root       DEBUG   Importing module [programy.parser.template.nodes.size]
2019-09-18 13:07:37,103  root       DEBUG   Instantiating class [TemplateSizeNode]
2019-09-18 13:07:37,103  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.vocabulary.TemplateVocabularyNode]
2019-09-18 13:07:37,103  root       DEBUG   Processor path [programy.parser.template.nodes.vocabulary.TemplateVocabularyNode]
2019-09-18 13:07:37,104  root       DEBUG   Importing module [programy.parser.template.nodes.vocabulary]
2019-09-18 13:07:37,104  root       DEBUG   Instantiating class [TemplateVocabularyNode]
2019-09-18 13:07:37,104  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.eval.TemplateEvalNode]
2019-09-18 13:07:37,104  root       DEBUG   Processor path [programy.parser.template.nodes.eval.TemplateEvalNode]
2019-09-18 13:07:37,105  root       DEBUG   Importing module [programy.parser.template.nodes.eval]
2019-09-18 13:07:37,105  root       DEBUG   Instantiating class [TemplateEvalNode]
2019-09-18 13:07:37,105  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.explode.TemplateExplodeNode]
2019-09-18 13:07:37,106  root       DEBUG   Processor path [programy.parser.template.nodes.explode.TemplateExplodeNode]
2019-09-18 13:07:37,106  root       DEBUG   Importing module [programy.parser.template.nodes.explode]
2019-09-18 13:07:37,106  root       DEBUG   Instantiating class [TemplateExplodeNode]
2019-09-18 13:07:37,107  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.implode.TemplateImplodeNode]
2019-09-18 13:07:37,107  root       DEBUG   Processor path [programy.parser.template.nodes.implode.TemplateImplodeNode]
2019-09-18 13:07:37,107  root       DEBUG   Importing module [programy.parser.template.nodes.implode]
2019-09-18 13:07:37,107  root       DEBUG   Instantiating class [TemplateImplodeNode]
2019-09-18 13:07:37,108  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.program.TemplateProgramNode]
2019-09-18 13:07:37,108  root       DEBUG   Processor path [programy.parser.template.nodes.program.TemplateProgramNode]
2019-09-18 13:07:37,108  root       DEBUG   Importing module [programy.parser.template.nodes.program]
2019-09-18 13:07:37,108  root       DEBUG   Instantiating class [TemplateProgramNode]
2019-09-18 13:07:37,109  root       DEBUG   Pre-instantiating Template Node [programy.parser.template.nodes.lowercase.TemplateLowercaseNode]
2019-09-18 13:07:37,109  root       DEBUG   Processor path [programy.parser.template.nodes.lowercase.TemplateLowercaseNode]
2019-09-18 13:07:37,109  root       DEBUG   Importing module [programy.parser.template.nodes.lowercase]
2019-09-18 13:07:37,110  root       DEBUG   Instantiating class [TemplateLowercaseNode]
